year,location,type,total,0-14,15-20,21-30,31-40,41-50,51-60,61-64,65-70,71-
2012,dobonggu,died,16,1,0,1,0,2,6,1,3,2
2012,dobonggu,injured,1294,70,129,188,195,241,270,76,56,69
2012,nowongu,died,13,1,1,1,0,0,4,2,1,3
2012,nowongu,injured,2330,124,272,355,405,451,453,85,91,94
2012,enpyunggu,died,21,0,0,2,1,4,3,1,8,2
2012,enpyunggu,injured,2197,140,264,357,332,388,393,95,119,109
2012,sudaemungu,died,13,0,1,3,2,1,2,2,0,2
2012,sudaemungu,injured,1645,60,123,317,313,311,322,65,68,66
2012,mapogu,died,23,0,2,2,4,0,4,1,4,6
2012,mapogu,injured,2363,88,200,534,542,420,366,71,82,60
2012,yangchungu,died,14,0,0,2,2,1,1,0,4,4
2012,yangchungu,injured,2036,112,222,315,355,426,398,79,61,68
2012,gangsugu,died,25,1,4,3,3,2,3,2,4,3
2012,gangsugu,injured,2573,105,228,438,484,562,469,105,110,72
2012,gulogu,died,21,1,1,6,4,1,2,0,4,2
2012,gulogu,injured,2366,131,205,410,473,472,409,97,86,83
2012,gemchungu,died,21,1,0,2,0,4,9,1,2,2
2012,gemchungu,injured,1540,72,144,272,286,305,303,57,57,44
2012,yeongdeungpogu,died,32,0,1,2,6,4,3,2,2,12
2012,yeongdeungpogu,injured,3206,102,187,610,694,617,644,132,119,101
2012,dongjakgu,died,14,0,0,3,1,3,3,0,2,2
2012,dongjakgu,injured,1707,53,121,386,357,314,283,64,84,45
2012,gwanakgu,died,20,0,2,2,1,1,3,2,3,6
2012,gwanakgu,injured,2299,86,201,508,442,382,413,89,93,85
2012,suchogu,died,25,0,1,1,3,1,7,3,2,7
2012,suchogu,injured,3213,102,119,711,774,662,544,129,104,68
2012,gangnamgu,died,25,0,1,3,3,6,5,2,4,1
2012,gangnamgu,injured,5666,148,234,"1,458","1,448","1,010",925,189,171,83
2012,songpagu,died,14,0,2,2,2,2,1,1,2,2
2012,songpagu,injured,4060,231,327,708,801,749,819,150,162,113
2012,gangdonggu,died,18,1,3,1,2,3,4,1,0,3
2012,gangdonggu,injured,2029,119,163,349,364,374,398,83,98,81
2013,jongnogu,died,13,0,0,1,3,1,4,0,1,3
2013,jongnogu,injured,1770,41,76,360,380,322,357,90,85,59
2013,junggu,died,10,0,0,2,0,0,4,0,1,3
2013,junggu,injured,1975,43,79,420,444,331,418,91,73,76
2013,yongsangu,died,13,0,2,2,2,2,2,0,1,2
2013,yongsangu,injured,2023,54,84,432,484,396,367,69,80,57
2013,sungdonggu,died,8,0,1,0,0,0,3,0,1,3
2013,sungdonggu,injured,1458,53,95,276,311,271,265,61,52,74
